,encoding_dim,hidden_size,num_epochs,val_loss,val_acc,val_mean_squared_error,val_binary_accuracy,val_binary_crossentropy,val_kullback_leibler_divergence,loss,acc,mean_squared_error,binary_accuracy,binary_crossentropy,kullback_leibler_divergence,mean_correlation,no_hidden_layers,elapsed_time,description
99,20.0,100.0,39.0,0.21556733751101853,0.9158012234194668,0.06369956078570109,0.9158012234194668,0.21446761691375135,166.1813470347317,0.2128236134348957,0.9164704610103506,0.06305925742849076,0.9164704610103506,0.2117287705560136,162.9792691028893,0.3840746447943835,1.0,217.3504319190979,learning_rate=0.0007
100,20.0,100.0,22.0,0.2206517137353904,0.9136606494509146,0.0653663877238146,0.9136606494509146,0.2198951567545153,158.67574949085454,0.21765372279865525,0.9145597151248216,0.06455142930540883,0.9145597151248216,0.21691182110641846,166.8849137242026,0.3737036879080772,1.0,126.14621496200563,learning_rate=0.0011
101,20.0,100.0,28.0,0.2149963876046868,0.9160752763929536,0.06357614047176056,0.9160752763929536,0.21410447860142906,167.7779770977404,0.21188690247797728,0.916903973171371,0.06280418360496373,0.916903973171371,0.2110027549491064,162.24816468605275,0.3878152320114544,1.0,145.10529947280884,learning_rate=0.0009
102,20.0,100.0,28.0,0.21522599845249374,0.9160857401332664,0.06361549586760751,0.9160857401332664,0.2143377253325673,175.31812757070557,0.2122237256362837,0.9168374067278338,0.06288159294173623,0.9168374067278338,0.21134669137669373,162.6516766608997,0.3880587062097347,1.0,160.17316126823425,learning_rate=0.0012
103,20.0,100.0,25.0,0.21035300862289816,0.9175226939143499,0.06231149930182305,0.9175226939143499,0.20952048074699792,147.2132438075617,0.20604802887763604,0.9192279478192176,0.06103556567217895,0.9192279478192176,0.2052250712642078,157.6885578068849,0.4051503905365063,1.0,152.91074609756467,learning_rate=0.0008
104,20.0,100.0,30.0,0.21984338448577967,0.9141556207928224,0.06506596877561145,0.9141556207928224,0.21891407356792536,168.53594275572348,0.21653794950831184,0.915091197008834,0.06419155939650853,0.915091197008834,0.21562091334406785,166.03809457254303,0.3737297636315934,1.0,179.77628302574158,learning_rate=0.001
105,20.0,100.0,20.0,0.21095734360875795,0.9175758255004424,0.062431382812957785,0.9175758255004424,0.21028023835811469,153.66747003223784,0.20806549574665809,0.9185771801375248,0.061620750209216875,0.9185771801375248,0.2074019667184348,159.4466458893148,0.3999124785299469,1.0,131.8775429725647,learning_rate=0.01
106,20.0,100.0,27.0,0.21447215127612052,0.9163571032584718,0.06336634501018487,0.9163571032584718,0.2136400406327337,167.68981543491824,0.21157497167021846,0.9172634078893954,0.0626044682108821,0.9172634078893954,0.21075253457612686,162.2924963173941,0.3897223665681833,1.0,157.0509829521179,learning_rate=0.001
107,20.0,100.0,34.0,0.21480500048378884,0.9162559350235966,0.0634952023686356,0.9162559350235966,0.2138132686016935,159.73475446558712,0.21221726967268048,0.916930327338342,0.06283122719677797,0.916930327338342,0.21123575210085024,162.6871581251049,0.3859611962050787,1.0,183.9095189571381,learning_rate=0.01
108,20.0,100.0,35.0,0.21493079602488774,0.9161934530958856,0.06349559585255789,0.9161934530958856,0.21388859390982884,166.6971254395589,0.21221373446247915,0.9168250742969829,0.06284753741355541,0.9168250742969829,0.21117924015557515,162.54449393917398,0.38755090202022585,1.0,182.32242822647092,learning_rate=0.0008
