Constituency,PANO,ONSConstID,Constituency,Region,Estimated declaration time,Day,Day/Time,CON,LAB,LIBDEM,GRN,SNP,PC,BXP,UKIP,OTHER,Registered Voters,Turnout
Bolton North East,76,E14000578,Bolton North East,North West,03:00,5-Friday,5-Friday 03:00,19759,19381,1847,689,,,1880,,0,67564,64.47%
Bolton South East,77,E14000579,Bolton South East,North West,03:00,5-Friday,5-Friday 03:00,13918,21516,1411,791,,,2968,,0,69163,58.71%
Bolton West,78,E14000580,Bolton West,North West,03:00,5-Friday,5-Friday 03:00,27255,18400,2704,939,,,,,0,73191,67.36%
Brentwood & Ongar,93,E14000594,Brentwood & Ongar,East,03:00,5-Friday,5-Friday 03:00,36308,7243,1644,1679,,,,,103,75253,62.43%
Bristol East,99,E14000599,Bristol East,South West,03:00,5-Friday,5-Friday 03:00,16923,27717,3527,2106,,,1881,,0,73867,70.61%
Bristol North West,100,E14000600,Bristol North West,South West,03:00,5-Friday,5-Friday 03:00,21638,27330,4940,1977,,,,,0,76273,73.27%
Bristol South,101,E14000601,Bristol South,South West,03:00,5-Friday,5-Friday 03:00,18036,27895,4227,2713,,,2325,,0,84079,65.65%
Bristol West,102,E14000602,Bristol West,South West,03:00,5-Friday,5-Friday 03:00,8822,47028,,18809,,,869,,0,99253,76.10%
Cambridge,119,E14000617,Cambridge,East,03:00,5-Friday,5-Friday 03:00,8342,25776,16137,2164,,,1041,,269,79951,67.20%
Devon Central,188,E14000623,Devon Central,South West,03:00,5-Friday,5-Friday 03:00,32095,14374,8770,2833,,,,,0,74926,77.51%
Chelsea & Fulham,140,E14000629,Chelsea & Fulham,London,03:00,5-Friday,5-Friday 03:00,23345,10872,12104,,,,,,500,67110,69.77%
Chesham & Amersham,142,E14000631,Chesham & Amersham,South East,03:00,5-Friday,5-Friday 03:00,30850,7166,14627,3042,,,,,0,72542,76.76%
Chingford & Woodford Green,146,E14000634,Chingford & Woodford Green,London,03:00,5-Friday,5-Friday 03:00,23481,22219,2744,,,,,,0,65393,74.08%
Christchurch,150,E14000638,Christchurch,South West,03:00,5-Friday,5-Friday 03:00,33894,6568,9277,2212,,,,,0,71521,72.64%
Cities of London & Westminster,151,E14000639,Cities of London & Westminster,London,03:00,5-Friday,5-Friday 03:00,17049,11624,13096,728,,,,,226,63700,67.07%
"Durham, City of",214,E14000641,"Durham, City of",North East,03:00,5-Friday,5-Friday 03:00,15506,20531,7935,1635,,,3252,,0,71271,68.55%
Clacton,152,E14000642,Clacton,East,03:00,5-Friday,5-Friday 03:00,31438,6736,2541,1225,,,,,467,70930,59.79%
Cleethorpes,153,E14000643,Cleethorpes,Yorkshire and The Humber,03:00,5-Friday,5-Friday 03:00,31969,10551,2535,1284,,,,,0,73689,62.88%
Coventry North East,165,E14000649,Coventry North East,West Midlands,03:00,5-Friday,5-Friday 03:00,15720,23412,2061,1141,,,2110,,0,76002,58.48%
Coventry North West,166,E14000650,Coventry North West,West Midlands,03:00,5-Friday,5-Friday 03:00,20710,20918,2717,1443,,,1956,,0,75240,63.46%
Coventry South,167,E14000651,Coventry South,West Midlands,03:00,5-Friday,5-Friday 03:00,19143,19544,3398,1092,,,1432,,435,70970,63.47%
Crawley,168,E14000652,Crawley,South East,03:00,5-Friday,5-Friday 03:00,27040,18680,2728,1451,,,,,0,74207,67.24%
Dagenham & Rainham,175,E14000657,Dagenham & Rainham,London,03:00,5-Friday,5-Friday 03:00,19175,19468,1182,602,,,2887,,209,71043,61.26%
Dartford,177,E14000659,Dartford,South East,03:00,5-Friday,5-Friday 03:00,34006,14846,3735,1435,,,,,0,82209,65.71%
Don Valley,194,E14000667,Don Valley,Yorkshire and The Humber,03:00,5-Friday,5-Friday 03:00,19609,15979,1907,872,,,6247,,823,75356,60.30%
Doncaster Central,195,E14000668,Doncaster Central,Yorkshire and The Humber,03:00,5-Friday,5-Friday 03:00,14360,16638,1748,981,,,6842,,1012,71389,58.25%
Doncaster North,196,E14000669,Doncaster North,Yorkshire and The Humber,03:00,5-Friday,5-Friday 03:00,13370,15740,1476,,,,8297,,1410,72362,55.68%
Ealing Central & Acton,218,E14000674,Ealing Central & Acton,London,03:00,5-Friday,5-Friday 03:00,14832,28132,9444,1735,,,664,,0,75510,72.58%
Ealing North,219,E14000675,Ealing North,London,03:00,5-Friday,5-Friday 03:00,15767,28036,4370,1458,,,,,0,74473,66.64%
Ealing Southall,220,E14000676,Ealing Southall,London,03:00,5-Friday,5-Friday 03:00,9594,25678,3933,1688,,,867,,457,64580,65.37%
Easington,221,E14000677,Easington,North East,03:00,5-Friday,5-Friday 03:00,9142,15723,1526,,,,6744,,1448,61182,56.52%
Eastbourne,225,E14000684,Eastbourne,South East,03:00,5-Friday,5-Friday 03:00,26951,3848,22620,,,,1530,,185,79307,69.52%
Eastleigh,226,E14000685,Eastleigh,South East,03:00,5-Friday,5-Friday 03:00,32690,7559,17083,1639,,,,,0,83880,70.30%
Edmonton,233,E14000687,Edmonton,London,03:00,5-Friday,5-Friday 03:00,10202,26217,2145,862,,,840,,75,65568,61.53%
Epsom & Ewell,240,E14000694,Epsom & Ewell,South East,03:00,5-Friday,5-Friday 03:00,31819,10226,13946,2047,,,,,1413,81138,73.27%
Erewash,241,E14000695,Erewash,East Midlands,03:00,5-Friday,5-Friday 03:00,27560,16954,2487,1115,,,,,122,72519,66.52%
Esher & Walton,243,E14000697,Esher & Walton,South East,03:00,5-Friday,5-Friday 03:00,31132,2838,28389,,,,,,725,81184,77.70%
Fareham,246,E14000699,Fareham,South East,03:00,5-Friday,5-Friday 03:00,36459,10373,8006,2412,,,,,0,78337,73.08%
Forest of Dean,254,E14000705,Forest of Dean,South West,03:00,5-Friday,5-Friday 03:00,30680,14811,,4681,,,,,1303,71438,72.06%
Garston & Halewood,258,E14000708,Garston & Halewood,North West,03:00,5-Friday,5-Friday 03:00,6954,38578,3324,1183,,,2943,,344,76116,70.06%
Gedling,260,E14000710,Gedling,East Midlands,03:00,5-Friday,5-Friday 03:00,22718,22039,2279,1097,,,1820,,0,71438,69.92%
Gloucester,270,E14000712,Gloucester,South West,03:00,5-Friday,5-Friday 03:00,29159,18882,4338,1385,,,,,0,81332,66.10%
